id,tag,title,year
3386,journals/cad/ChenX96,"Freehand drawing system using a fuzzy logic concept.",1996
3387,journals/cad/Anselmetti06,"Generation of functional tolerancing based on positioning features.",2006
3388,journals/cad/NelaturiS11,"Configuration products and quotients in geometric modeling.",2011
3389,journals/cad/El-MehalawiM03,"A database system of mechanical components based on geometric and topological similarity. Part I: representation.",2003
3390,journals/cad/LiuXL16,"Nearly convex segmentation of polyhedra through convex ridge separation.",2016
3391,journals/cad/XiaoLLWZZ16,"Reconsideration of T-spline data models and their exchanges using STEP.",2016
3392,journals/cad/HuangHM00,"Agent-based workflow management in collaborative product development on the Internet.",2000
3393,journals/cad/ChenJ10,"Preface - Geometric modeling and processing.",2010
3394,journals/cad/SongRSL17,"Anti-aliasing for fused filament deposition.",2017
3395,journals/cad/LewisS98,"Generation of 3D building models from 2D architectural plans.",1998
3396,journals/cad/XueX03,"Web-based distributed system and database modeling for concurrent design.",2003
3397,journals/cad/ParkC01,"Boundary extraction algorithm for cutting area detection.",2001
3398,journals/cad/WangWTY04,"Reduce the stretch in surface flattening by finding cutting paths to the surface boundary.",2004
3399,journals/cad/MansonLS11,"Positive Gordon-Wixom coordinates.",2011
3400,journals/cad/Renner03,"Genetic algorithms in CAD.",2003
3401,journals/cad/Johnson98,"An open architecture approach to kinematic analysis for computer-aided embodiment design.",1998
3402,journals/cad/AzariadisA97,"Design of plane developments of doubly curved surfaces.",1997
3403,journals/cad/HoffmannK01,"Towards valid parametric CAD models.",2001
3404,journals/cad/LiangSDUAHB99,"Synthesis of consolidated data schema for engineering analysis from multiple STEP application protocols.",1999
3405,journals/cad/DonateP13,"New methodology for demoldability analysis based on volume discretization algorithms.",2013
3406,journals/cad/FangtHKCW98,"Real time motion fairing with unit quaternions.",1998
3407,journals/cad/KarciauskasP16,"Curvature continuous bi-4 constructions for scaffold- and sphere-like surfaces.",2016
3408,journals/cad/KarnielBR05,"Decomposing the problem of constrained surface fitting in reverse engineering.",2005
3409,journals/cad/HeldA00,"Letter to the editor: an algorithm for reducing tool retractions in zigzag pocket machining.",2000
3410,journals/cad/Griffiths73,"Drawing pictures of solid objects using a graph plotter.",1973
3411,journals/cad/AbeysingheJBC08,"Shape modeling and matching in identifying 3D protein structures.",2008
3412,journals/cad/ZhouCTL17,"An innovative approach to NC programming for accurate five-axis flank milling of spiral bevel or hypoid gears.",2017
3413,journals/cad/ImbachSM14,"Leading a continuation method by geometry for solving geometric constraints.",2014
3414,journals/cad/TsengJ94,"Recognizing multiple interpretations of interacting machining features.",1994
3415,journals/cad/VyzantiadouAZ07,"The application of fractal geometry to the design of grid or reticulated shell structures.",2007
3416,journals/cad/Choi03,"Editorial (Part 1).",2003
3417,journals/cad/GouatyFMDPRLN16,"Variational geometric modeling with black box constraints and DAGs.",2016
3418,journals/cad/AtteneRSF09,"Characterization of 3D shape parts for semantic annotation.",2009
3419,journals/cad/EmamiA10,"A look-ahead command generator with control over trajectory and chord error for NURBS curve with unknown arc length.",2010
3420,journals/cad/Wang06,"Incremental reconstruction of sharp edges on mesh surfaces.",2006
3421,journals/cad/HoffmanJ98,"CAD and the product master model.",1998
3422,journals/cad/ShuaiGJ13,"GPU-based computation of discrete periodic centroidal Voronoi tessellation in hyperbolic space.",2013
3423,journals/cad/AbrahamsonWSS00,"Integrated design in a service marketplace.",2000
3424,journals/cad/RyuPK07,"Molecular surfaces on proteins via beta shapes.",2007
3425,journals/cad/ChenW11,"Uniform offsetting of polygonal model based on Layered Depth-Normal Images.",2011
3426,journals/cad/EmirisT08,"Exact and efficient evaluation of the InCircle predicate for parametric ellipses and smooth convex objects.",2008
3427,journals/cad/RenZL05,"Material side tracing and curve refinement for pencil-cut machining of complex polyhedral models.",2005
3428,journals/cad/Rodney11,"Most Cited Paper Award.",2011
3429,journals/cad/WangZ13,"Curvature-guided adaptive TT-spline surface fitting.",2013
3430,journals/cad/WasmerSV11,"An industry approach to shared, cross-organisational engineering change handling - The road towards standards for product data processing.",2011
3431,journals/cad/LockettG08,"Similarity measures for mid-surface quality evaluation.",2008
3432,journals/cad/KimCRK10,"Topologies of surfaces on molecules and their computation in O(n) time.",2010
3433,journals/cad/TsaiC07,"Automatic design support and image evaluation of two-coloured products using colour association and colour harmony scales and genetic algorithm.",2007
3434,journals/cad/SchleichW18,"Novel approaches for the assembly simulation of rigid Skin Model Shapes in tolerance analysis.",2018
3435,journals/cad/ShenW15,"Geometric shapes of C-Bézier curves.",2015
3436,journals/cad/WarkhedkarB09,"Material-solid modeling of human body: A heterogeneous B-spline based approach.",2009
3437,journals/cad/KhameneifarF17,"Establishing a balanced neighborhood of discrete points for local quadric surface fitting.",2017
3438,journals/cad/GuerraH97,"Modelling turned components with non-axisymmetric features.",1997
3439,journals/cad/ShahJUBR96,"Database infrastructure for supporting engineering design histories.",1996
3440,journals/cad/HonJSS03,"Minimizing the total projection of a set of vectors, with applications to layered manufacturing.",2003
3441,journals/cad/BizzarriLVK18,"A direct and local method for computing polynomial Pythagorean-normal patches with global G1 continuity.",2018
3442,journals/cad/Zalik05,"An efficient sweep-line Delaunay triangulation algorithm.",2005
3443,journals/cad/Kripac97,"A mechanism for persistently naming topological entities in history-based parametric solid models.",1997
3444,journals/cad/LuximonZLX12,"Sizing and grading for wearable products.",2012
3445,journals/cad/AhluwaliaGA93,"Computer-aided optimum selection of roller bearings.",1993
3446,journals/cad/PieglT94,"Software-engineering approach to degree elevation of B-spline curves.",1994
3447,journals/cad/JoeWC94,"Reduced-knot NURBS representations of rational G1 composite Bézier curves.",1994
3448,journals/cad/SamantaK05,"Feature-based design and material blending for free-form heterogeneous object modeling.",2005
3449,journals/cad/TaoHMGWX13,"Partial retrieval of CAD models based on local surface region decomposition.",2013
3450,journals/cad/SuLK04a,"Automatic mesh generation and modification techniques for mixed quadrilateral and hexahedral element meshes of non-manifold models.",2004
3451,journals/cad/SuhL90,"NC milling tool path generation for arbitrary pockets defined by sculptured surfaces.",1990
3452,journals/cad/CarnicerDP12,"Progressive iteration approximation and the geometric algorithm.",2012
3453,journals/cad/HarderPLLMM16,"A framework for geometry acquisition, 3-D printing, simulation, and measurement of head-related transfer functions with a focus on hearing-assistive devices.",2016
3454,journals/cad/LaiHP06,"Surface fitting based on a feature sensitive parametrization.",2006
3455,journals/cad/AzariadisS05,"Drawing curves onto a cloud of points for point-based modelling.",2005
3456,journals/cad/HornaMDB09,"Consistency constraints and 3D building reconstruction.",2009
3457,journals/cad/Wever91,"Global and local date reduction strategies for cubic splines.",1991
3458,journals/cad/Sanchez-Reyes91,"Single-valued surfaces in cylindrical coordinates.",1991
3459,journals/cad/Harrison92,"Curves and surfaces in computer aided geometric design: Fujio Yamaguchi, Springer-Verlag (1988), 378 pp, ISBN 0-387-17449-4.",1992
3460,journals/cad/ShammaaOS10,"Segmentation of multi-material CT data of mechanical parts for extracting boundary surfaces.",2010
3461,journals/cad/PieglR95,"Tessellating trimmed surfaces.",1995
3462,journals/cad/King75,"Workshop - c.a.d. for digital systems and computers: 12th-16th August 1974. Heriot-Watt University, Edinburgh. Organized by the Department of Electrical and Electronic Engineering, Heriot-Watt University, UK.",1975
3463,journals/cad/Woodwark93b,"The buzzword is espirit.",1993
3464,journals/cad/TyanD98,"Automatic identification of non-intersecting machining features from 2D CAD input.",1998
3465,journals/cad/YangDM08,"Development of a product configuration system with an ontology-based approach.",2008
3466,journals/cad/Chua90,"Bézier brushstrokes.",1990
3467,journals/cad/PoelkeP16,"Boundary-aware hodge decompositions for piecewise constant vector fields.",2016
3468,journals/cad/QiSS06,"Single-set and class-of-sets semantics for geometric models.",2006
3469,journals/cad/Laing94,"An introduction to 3D autoCAD : A Yarwood Longman, UK (1993), 180 pp, ISBN 0 582 20991 9.",1994
3470,journals/cad/Heuvel08,", 3D imaging: A diversity of applications .John Fryer, Harvey Mitchell and Jim Chandler, Editors, Applications of 3D measurement from images, Whittles Publishing (2007) ISBN 978-1870325-69-1, p 304.",2008
3471,journals/cad/JayaramCL97,"Virtual assembly using virtual reality techniques.",1997
3472,journals/cad/Sugihara99,"Surface interpolation based on new local coordinates.",1999
3473,journals/cad/Wever91a,"Optimal parameterization for cubic splines.",1991
3474,journals/cad/ShinSS07,"Reincarnation of G-code based part programs into STEP-NC for turning applications.",2007
3475,journals/cad/WeiZYWPWQH15,"Morphology-preserving smoothing on polygonized isosurfaces of inhomogeneous binary volumes.",2015
3476,journals/cad/HanR98a,"Special panel session for feature recognition at the 1997 ASME Computers in Engineering Conference.",1998
3477,journals/cad/LiL08,"Plastic injection mould cooling system design by the configuration space method.",2008
3478,journals/cad/YukselSK11,"Parameterization and applications of Catmull-Rom curves.",2011
3479,journals/cad/Hoschek92,"Circular splines.",1992
3480,journals/cad/ShengH96,"Feature decomposition from solid models for automatic flattening.",1996
3481,journals/cad/SunXJG16,"Smooth tool path generation for 5-axis machining of triangular mesh surface with nonzero genus.",2016
3482,journals/cad/ParkC03,"Tool-path generation from measured data.",2003
3483,journals/cad/LeeBLK16,"Continuous penetration depth computation for rigid models using dynamic Minkowski sums.",2016
3484,journals/cad/VerroustSR92,"Rule-oriented method for parameterized computer-aided design.",1992
3485,journals/cad/ChengB91,"Interproximation: interpolation and approximation using cubic spline curves.",1991
3486,journals/cad/Schreve09,"Sufficient conditions for draft angles on general B-spline surfaces.",2009
3487,journals/cad/CherinCM14,"Modeling piecewise helix curves from 2D sketches.",2014
3488,journals/cad/ChenL99,"Quadric surface extraction using genetic algorithms.",1999
3489,journals/cad/ChiuT02,"An automatic method for controlling the centre of gravity of a model.",2002
3490,journals/cad/FryazinovPA11,"BSP-fields: An exact representation of polygonal objects by differentiable scalar fields based on binary space partitioning.",2011
3491,journals/cad/Chaves-JacobPD09,"New approach to 5-axis flank milling of free-form surfaces: Computation of adapted tool shape.",2009
3492,journals/cad/X94,"3rd European conference on rapid prototype & manufacturing 6th-7th July 1994.",1994
3493,journals/cad/GuptaG13,"Classification, representation, and automatic extraction of deformation features in sheet metal parts.",2013
3494,journals/cad/SunQ03,"Parametric face coding for invariant model representation.",2003
3495,journals/cad/0010YWZ15,"Corrigendum to 'Automatic design of conformal cooling circuits for rapid tooling' [J. Comput.-Aided Des. 43(8) (2011) 1001-1010].",2015
3496,journals/cad/TookeyB96,"Approximate G1 continuous interpolation of a rectangular network of rational cubic curves.",1996
3497,journals/cad/SprynskiSLB08,"Surface reconstruction via geodesic interpolation.",2008
3498,journals/cad/BaekL12,"Parametric human body shape modeling framework for human-centered product design.",2012
3499,journals/cad/Vergeest91,"CAD surface data exchange using STEP.",1991
3500,journals/cad/ShahM91,"Experimental investigation of the form-feature information model.",1991
3501,journals/cad/QunR96,"Smoothing of piecewise linear splines and the application to piecewise linear fat splines.",1996
3502,journals/cad/KargerH98,"Classification of all self-motions of the original Stewart-Gough platform.",1998
3503,journals/cad/JohnS13,"Combinatorics and the rigidity of CAD systems.",2013
3504,journals/cad/Fjallstrom93,"Evaluation of a Delaunay-based method for surface approximation.",1993
3505,journals/cad/AlhanatyB99,"Shapes with offsets of nearly constant surface area.",1999
3506,journals/cad/MinettoVSGS17,"An optimal algorithm for 3D triangle mesh slicing.",2017
3507,journals/cad/TzoumasMF15,"Extending CSG with projections: Towards formally certified geometric modeling.",2015
3508,journals/cad/Choi94a,"Special issue: NC machining and cutter-path generation.",1994
3509,journals/cad/Sapidis01,"Methods of Shape-Preserving Spline Approximation: Boris I. Kvasov World Scientific Publishing Co., Singapore, 2000, 356 pp, ISBN 981-02-4010-4.",2001
3510,journals/cad/TalonOGSO10,"Manufacture of a spur tooth gear in Ti-6Al-4V alloy by electrical discharge.",2010
3511,journals/cad/Dhondt01,"Unstructured 20-node brick element meshing.",2001
3512,journals/cad/PerngC97,"Resolving feature interactions in 3D part editing.",1997
3513,journals/cad/Lee09,"Offsetting operations on non-manifold topological models.",2009
3514,journals/cad/BateySAB75,"The design and implementation of an interactive data analysis package for a process computer.",1975
3515,journals/cad/MiaoPF09,"Curvature-aware adaptive re-sampling for point-sampled geometry.",2009
3516,journals/cad/HuLJZ01,"Modifying the shape of NURBS surfaces with geometric constraints.",2001
3517,journals/cad/NatekarZS04,"Constructive solid analysis: a hierarchical, geometry-based meshless analysis procedure for integrated design and analysis.",2004
3518,journals/cad/BesantHM73,"The use of computer aided design techniques in printed circuit layouts.",1973
3519,journals/cad/KimSLYC09,"Simultaneous registration of multiple views with markers.",2009
3520,journals/cad/BucheleC04,"Three-dimensional halfspace constructive solid geometry tree construction from implicit boundary representations.",2004
3521,journals/cad/BloomerT73,"An analogue approach to surface definition.",1973
3522,journals/cad/DuL08,"An extension on robust directed projection of points onto point clouds.",2008
3523,journals/cad/Kiritsis11,"Closed-loop PLM for intelligent products in the era of the Internet of things.",2011
3524,journals/cad/Overveld95,"Pondering on discrete smoothing and interpolation.",1995
3525,journals/cad/LockettG05,"Graph-based feature recognition for injection moulding based on a mid-surface approach.",2005
3526,journals/cad/KimSKRC06,"Three-dimensional beta shapes.",2006
3527,journals/cad/RameauSM18,"Clearance vs. tolerance for rigid overconstrained assemblies.",2018
3528,journals/cad/KineriWLM12,"B-spline surface fitting by iterative geometric interpolation/approximation algorithms.",2012
3529,journals/cad/DragomatzM97,"A classified bibliography of literature on NC milling path generation.",1997
3530,journals/cad/LuccioP90,"Suboptimal solution for PLA multiple column folding.",1990
3531,journals/cad/GurungLLR13,"Zipper: A compact connectivity data structure for triangle meshes.",2013
3532,journals/cad/LuZCZ16,"Geometric characteristics of a class of cubic curves with rational offsets.",2016
3533,journals/cad/JiaoZ05,"Product portfolio identification based on association rule mining.",2005
3534,journals/cad/CaiGS13,"Compliance optimization of a continuum with bimodulus material under multiple load cases.",2013
3535,journals/cad/Randrup98,"Approximation of surfaces by cylinders.",1998
3536,journals/cad/OliverH94,"Automated path planning for integrated assembly design.",1994
3537,journals/cad/GuptaG12,"Automatic extraction of free-form surface features (FFSFs).",2012
3538,journals/cad/LipmanL15,"Conformance checking of PMI representation in CAD model STEP data exchange files.",2015
3539,journals/cad/RamanathanG03,"Constructing medial axis transform of planar domains with curved boundaries.",2003
3540,journals/cad/WangRX14,"Mechanical assembly planning using ant colony optimization.",2014
3541,journals/cad/BidarraB00,"Semantic feature modelling.",2000
3542,journals/cad/SenatoreMRR05,"Analysis of improved positioning in five-axis ruled surface milling using envelope surface.",2005
3543,journals/cad/Jun05,"A piecewise hole filling algorithm in reverse engineering.",2005
3544,journals/cad/LuTSC05,"A new recognition model for electronic architectural drawings.",2005
3545,journals/cad/CaoBL11,"Computation of the medial axis of planar domains based on saddle point programming.",2011
3546,journals/cad/DelosAT18,"Model reduction in geometric tolerancing by polytopes.",2018
3547,journals/cad/Woodwark92c,"Cutting up CAD systems.",1992
3548,journals/cad/Wiseman75,"An approach to computer graphics.",1975
3549,journals/cad/LiWMB03,"Using low-discrepancy sequences and the Crofton formula to compute surface areas of geometric models.",2003
3550,journals/cad/MengWJ12,"Flexible shape control for automatic resizing of apparel products.",2012
3551,journals/cad/AomuraU90,"Self-intersection of an offset surface.",1990
3552,journals/cad/PenoyerBFL00,"Knowledge based product life cycle systems: principles of integration of KBE and C3P.",2000
3553,journals/cad/BenouamerMP94,"Error-free boundary evaluation based on a lazy rational arithmetic: a detailed implementation.",1994
3554,journals/cad/CardoneGDK06,"Machining feature-based similarity assessment algorithms for prismatic machined parts.",2006
3555,journals/cad/Ye95,"Generating Bézier points for curves and surfaces from boundary information.",1995
3556,journals/cad/SapidisK04,"Editorial to special issue: CAD education.",2004
3557,journals/cad/Duro-RoyoMO15,"Flow-based fabrication: An integrated computational workflow for design and digital additive manufacturing of multifunctional heterogeneously structured objects.",2015
3558,journals/cad/YoussefSS92,"Prelayout timing analysis of cell-based VLSI designs.",1992
3559,journals/cad/KyungWM92,"Adaptive cluster growth: a new algorithm for circuit placement in rectilinear regions.",1992
3560,journals/cad/Ball75,"CONSURF. Part two: description of the algorithms.",1975
3561,journals/cad/KangKSH15,"Editing 3D models on smart devices.",2015
3562,journals/cad/ZhaoKLW11,"Tooth flank modification theory of dual-torus double-enveloping hourglass worm drives.",2011
3563,journals/cad/KuoWL92,"Enhancing the multiple-fault detection of single-fault test sets.",1992
3564,journals/cad/GonzalezGCRQ09,"User-assisted simplification method for triangle meshes preserving boundaries.",2009
3565,journals/cad/PengWLY10,"A desktop virtual reality-based interactive modular fixture configuration design system.",2010
3566,journals/cad/JayantiKR09,"Shape-based clustering for 3D CAD objects: A comparative study of effectiveness.",2009
3567,journals/cad/KuzminykhH08,"On validating STEP product data exchange.",2008
3568,journals/cad/GrayIB04,"Graphics-assisted Rolling Ball Method for 5-axis surface machining.",2004
3569,journals/cad/FoggAR16,"Enhanced medial-axis-based block-structured meshing in 2-D.",2016
3570,journals/cad/Jones75,"An analogue computer aid for the kinematic design of a low impact velocity power press mechanism.",1975
3571,journals/cad/Gossling75,"Computer-aided redesign of a cast component.",1975
3572,journals/cad/GuiM94,"Functional understanding of assembly modelling.",1994
3573,journals/cad/ShettyW91,"Curvature-continuous extensions for rational B-spline curves and surfaces.",1991
3574,journals/cad/Piegl05b,"CAD'04 Special Issue: Product design, integration and manufacturing.",2005
3575,journals/cad/ShiZZYSP11,"G2 B-spline interpolation to a closed mesh.",2011
3576,journals/cad/GuptaWZ97,"Prototyping and design for assembly analysis using multimodal virtual environments.",1997
3577,journals/cad/DonatelliGMS17,"Curvature continuous path planning and path finding based on PH splines with tension.",2017
3578,journals/cad/DoumanidisD07,"Micro-/nano-technology special issue.",2007
3579,journals/cad/TurkiyyahKAN11,"Mesh cutting during real-time physical simulation.",2011
3580,journals/cad/Dorado09,"Medial axis of a planar region by offset self-intersections.",2009
3581,journals/cad/WangHLGQ08,"Polycube splines.",2008
3582,journals/cad/ChoiL90,"Sweep surfaces modelling via coordinate transformation and blending.",1990
3583,journals/cad/Humcke75,"11th annual design automation workshop : 17th-19th June 1974. Denver Holiday Inn, Denver, Colorado, USA. Sponsored by the Association for Computing Special Interest Group of Design Automation (SIGDA) and the Institute of Electrical and Electronics Engineers Computer Society.",1975
3584,journals/cad/OuX13,"Relationship matrix based automatic assembly sequence generation from a CAD model.",2013
3585,journals/cad/Shelden09,"The long awaited arrival of architectural geometry.",2009
3586,journals/cad/BrunnettK94,"Interpolation with minimal-energy splines.",1994
3587,journals/cad/YangY06,"Cone spline approximation via fat conic spline fitting.",2006
3588,journals/cad/Taylor71a,"Permanent records using pen-type plotters.",1971
3589,journals/cad/Piegl90,"Happy birthday Pierre Bézier.",1990
3590,journals/cad/QianRR05,"Admissible transformation volume for part dimensional quality gauging.",2005
3591,journals/cad/LiLFW05,"Collaborative computer-aided design - research and development status.",2005
3592,journals/cad/Spitzmuller96,"Partial derivatives of Bézier surfaces.",1996
3593,journals/cad/AnderlM96,"Modelling with constraints: theoretical foundation and application.",1996
3594,journals/cad/Woodwark93,"Chateau CAD '68.",1993
3595,journals/cad/Lee90,"Energy, fairness, and a counterexample.",1990
3596,journals/cad/MeeranT99,"A generic approach to recognising isolated, nested and interacting features from 2D drawings.",1999
3597,journals/cad/JinKMKH06,"A sweepline algorithm for Euclidean Voronoi diagram of circles.",2006
3598,journals/cad/RockwoodW97,"Three-dimensional object reconstruction from two-dimensional images.",1997
3599,journals/cad/LiMW11,"Erratum to 'Polynomial blending in a mesh hole-filling application' [Comput. Aided Design 42 (4) (2010) 340-349].",2011
3600,journals/cad/BiasottiMSF06,"Sub-part correspondence by structural descriptors of 3D shapes.",2006
3601,journals/cad/BehandishNK18,"Automated process planning for hybrid manufacturing.",2018
3602,journals/cad/ParkL07,"B-spline curve fitting based on adaptive curve refinement using dominant points.",2007
3603,journals/cad/Piegl05a,"CAD'04 Special Issue: modeling and geometry representations for CAD.",2005
3604,journals/cad/KannengiesserG06,"Towards mass customized interoperability.",2006
3605,journals/cad/SamuelS99,"Evaluation of straightness and flatness error using computational geometric techniques.",1999
3606,journals/cad/HuiL07,"Generating subdivision surfaces from profile curves.",2007
3607,journals/cad/LeeK98,"A 2-D geometric constraint solver using DOF-based graph reduction.",1998
3608,journals/cad/LeeH05,"Reconstruction of 3D interacting solids of revolution from 2D orthographic views.",2005
3609,journals/cad/ChangOP15,"Next viewing directions for the scanning of dental impressions.",2015
3610,journals/cad/KatoNYKW75,"PBDS-process basic design system.",1975
3611,journals/cad/Taylor71,"Graphic displays as an aid for the designer.",1971
3612,journals/cad/SchreckS06,"Using invariance under the similarity group to solve geometric constraint systems.",2006
3613,journals/cad/HanR98,"Modeler-independent feature recognition in a distributed environment.",1998
3614,journals/cad/GavrilovaR00,"Reliable line segment intersection testing.",2000
3615,journals/cad/MengH16,"Consistent quadrangulation for shape collections via feature line co-extraction.",2016
3616,journals/cad/MaekawaMN07,"Interpolation by geometric algorithm.",2007
3617,journals/cad/LiXZG05,"Adaptive knot placement in B-spline curve approximation.",2005
3618,journals/cad/SacksJ93,"Automated modeling and kinematic simulation of mechanisms.",1993
3619,journals/cad/Keillor72,"Flow charting by interactive computer graphics.",1972
3620,journals/cad/FischerS91,"Accelerating the evaluation of volumetric modelers by manipulating CSG trees and DAGs.",1991
3621,journals/cad/RodriguesBZN18,"Integrated approach for geometric modeling and interactive visual analysis of grain structures.",2018
3622,journals/cad/QianD03,"Design of heterogeneous turbine blade.",2003
3623,journals/cad/ShahMZ94,"Development of software for integrated dynamic analysis of multibody systems.",1994
3624,journals/cad/LiON05,"A Web-based process planning optimization system for distributed design.",2005
3625,journals/cad/CaseBP91,"Computer graphics standards for man modelling.",1991
3626,journals/cad/TamXT03,"An algorithm for the interpolation of hybrid curves.",2003
3627,journals/cad/Joan-Arinyo01,"Geometric Constraint Solving: A Growing Field: Geometric Constraint Solving and Applications, B. Brüderlin, D. Roller (Eds.); Springer, Berlin, 1998, Hardbound, 304 pages, ISBN 3-540-64416-4.",2001
3628,journals/cad/AuY11,"Modeling of multi-connected porous passageway for mould cooling.",2011
3629,journals/cad/MarkotM91,"Procedural method for evaluating the intersection curves of two parametric surfaces.",1991
3630,journals/cad/WangTY05,"Freeform surface flattening based on fitting a woven mesh model.",2005
3631,journals/cad/RosenJW13,"A method for reverse engineering of material microstructure for heterogeneous CAD.",2013
3632,journals/cad/SrinivasD94,"Intuitive procedure for constructing geometrically complex objects using cyclides.",1994
3633,journals/cad/LeeC08,"A* -based layout design for gratings allocation.",2008
3634,journals/cad/MalakAP09,"Multi-attribute utility analysis in set-based conceptual design.",2009
3635,journals/cad/Peters90,"Smooth mesh interpolation with cubic patches.",1990
3636,journals/cad/ChaPL12,"Development of a simulation framework and applications to new production processes in shipyards.",2012
3637,journals/cad/Degen03,"Bringing Line Geometry Together with CAGD: Computational Line Geometry; Helmut Pottmann, Johannes Wallner (Eds.); Springer, Berlin, 2001, 563 pages, ISBN 3-540-42058-4.",2003
3638,journals/cad/HorschJ98,"Cartesian spline interpolation for industrial robots.",1998
3639,journals/cad/BandaraC18,"Isogeometric shape optimisation of shell structures using multiresolution subdivision surfaces.",2018
3640,journals/cad/ShihCF91,"Neural computation network for global routing.",1991
3641,journals/cad/MathisS14,"Coordinate-free geometry and decomposition in geometrical constraint solving.",2014
3642,journals/cad/OuYangF11,"Reconstruction of 2D polygonal curves and 3D triangular surfaces via clustering of Delaunay circles/spheres.",2011
3643,journals/cad/PlakhotnikL12,"Computing of the actual shape of removed material for five-axis flat-end milling.",2012
3644,journals/cad/HuTJS01,"Approximate merging of a pair of Bézier curves.",2001
3645,journals/cad/YanPB15,"An interactive motion planning framework that can learn from experience.",2015
3646,journals/cad/PahngSW98,"Distribution modeling and evaluation of product design problems.",1998
3647,journals/cad/BertolottoBFN96,"Generating assembly and machining sequences from the Face-to-Face Composition model.",1996
3648,journals/cad/Rabut02,"On Pierre Bézier's life and motivations.",2002
3649,journals/cad/SodhiT94,"Towards modelling of assemblies for product design.",1994
3650,journals/cad/ZhuLZS16,"Diffusion-based non-uniform regularization for variational shape deformation.",2016
3651,journals/cad/ShengH92,"Triangulation of trimmed surfaces in parametric space.",1992
3652,journals/cad/AlagarBP90,"Semantic CSG trees for finite element analysis.",1990
3653,journals/cad/JayaramM93,"Device-independent programming environments for CAD/CAM software creation.",1993
3654,journals/cad/Kim92,"Recognition of form features using convex decomposition.",1992
3655,journals/cad/GargantiniSK94,"Reconstructing multishell solids from voxel-based contours.",1994
3656,journals/cad/Kim93,"Hodograph approach to geometric characterization of parametric cubic curves.",1993
3657,journals/cad/FuKS14,"Modeling flow features with user-guided streamline parameterization.",2014
3658,journals/cad/XuZZ03,"Angular interpolation of bi-parameter curves.",2003
3659,journals/cad/ElberC99,"A unified approach to verification in 5-axis freeform milling environments.",1999
3660,journals/cad/XinWHZCTS18,"Lightweight preprocessing and fast query of geodesic distance via proximity graph.",2018
3661,journals/cad/WilfM93,"Quadric-surface intersection curves: shape and structure.",1993
3662,journals/cad/KimCKC06,"Recognition of docking sites on a protein using beta-shape based on Voronoi diagram of atoms.",2006
3663,journals/cad/GanesanD98,"Intersecting features extraction from 2D orthographic projections.",1998
3664,journals/cad/KimCK05,"Euclidean Voronoi diagram of 3D balls and its computation via tracing edges.",2005
3665,journals/cad/GuilfordT93,"Representational primitives for geometric tolerancing.",1993
3666,journals/cad/Filip90,"Determining the orientation of closed planar curves.",1990
3667,journals/cad/WaltonM96a,"A Pythagorean hodograph quintic spiral.",1996
3668,journals/cad/Wang08a,"WireWarping: A fast surface flattening approach with length-preserved feature curves.",2008
3669,journals/cad/TiernyDNPS11,"Inspired quadrangulation.",2011
3670,journals/cad/LamousinJ97,"Nesting of two-dimensional irregular parts using a shape reasoning heuristic.",1997
3671,journals/cad/RazdanB03,"A hybrid approach to feature segmentation of triangle meshes.",2003
3672,journals/cad/LinL98,"Automatic generation of NC cutter path from massive data points.",1998
3673,journals/cad/GongFHCL10,"Optimization of tool positions locally based on the BCELTP for 5-axis machining of free-form surfaces.",2010
3674,journals/cad/MaoLLWW08,"A CAD system for multi-style thermal functional design of clothing.",2008
3675,journals/cad/WangT05,"Non-self-overlapping Hermite interpolation mapping: a practical solution for structured quadrilateral meshing.",2005
3676,journals/cad/MyersJ13,"Uncertain lines and circles with dependencies.",2013
3677,journals/cad/BajajHK11,"Preface.",2011
3678,journals/cad/SacksJ97,"Parametric kinematic tolerance analysis of planar mechanisms.",1997
3679,journals/cad/MukerjeeD12,"Grounded discovery of symbols as concept-language pairs.",2012
3680,journals/cad/HuiL98,"A feature-based shape blending technique for industrial design.",1998
3681,journals/cad/WangZLZ17,"A robust and accurate geometric model for automated design of drawbeads in sheet metal forming.",2017
3682,journals/cad/Bolton75,"Biarc curves.",1975
3683,journals/cad/NewellS90,"The difference between CAD and GIS.",1990
3684,journals/cad/DheeravongkitS07,"Inverse adaptation of a Hex-dominant mesh for large deformation finite element analysis.",2007
3685,journals/cad/Liu93,"Algorithm for circle approximation and generation.",1993
3686,journals/cad/Truong-HongL14,"Octree-based, automatic building façade generation from LiDAR data.",2014
3687,journals/cad/Wang05,"Parameterization and parametric design of mannequins.",2005
3688,journals/cad/Lever73,"A photomontage system for site planning.",1973
3689,journals/cad/TsuchieO16,"High-quality quadratic curve fitting for scanned data of styling design.",2016
3690,journals/cad/X94a,"CSG 94: Set-theoretic solid modelling: Techniques and applications, Winchester, UK, April 1994.",1994
3691,journals/cad/Choi94,"Special issue: NC machining and cutter-path generation.",1994
3692,journals/cad/PengWDFG15,"Brain morphometry on congenital hand deformities based on Teichmüller space theory.",2015
3693,journals/cad/PrattBDLPS02,"Progress towards an international standard for data transfer in rapid prototyping and layered manufacturing.",2002
3694,journals/cad/WooL93,"Dimensional measurement of surfaces and their sampling.",1993
3695,journals/cad/Yoo11,"Three-dimensional surface reconstruction of human bone using a B-spline based interpolation approach.",2011
